ordem;codigo;descricao;codigoSuperior;nivel;isTotal;grupo
213;0213;Rendimentos Fundos de Investimento;0210;4;false;
214;0214;Juros Recebidos;0209;3;false;
215;0215;Descontos Obtidos;0209;3;false;
216;0216;Variações Cambiais Ativas;0209;3;false;
217;0217;Outras Receitas Financeiras;0209;3;false;
218;0218;Despesas Financeiras;0208;2;false;
219;0219;Juros e Encargos;0218;3;false;
220;0220;Juros sobre Empréstimos;0219;4;false;
221;0221;Juros sobre Financiamentos;0219;4;false;
222;0222;Juros de Mora;0219;4;false;
223;0223;Tarifas Bancárias;0218;3;false;
224;0224;Tarifas de Manutenção;0223;4;false;
225;0225;Tarifas de Transação;0223;4;false;
226;0226;IOF;0223;4;false;
227;0227;Descontos Concedidos;0218;3;false;
228;0228;Variações Cambiais Passivas;0218;3;false;
229;0229;Outras Despesas Financeiras;0218;3;false;
230;0230;Resultado Não Operacional;0240;2;false;
231;0231;Receitas Não Operacionais;0230;3;false;
232;0232;Doações Recebidas;0231;3;false;
233;0233;Alienação de Bens;0231;3;false;
234;0234;Reversão de Provisões;0231;3;false;
235;0235;(-) Despesas Não Operacionais;0230;3;false;
236;0236;Multas e Penalidades;0235;3;false;
237;0237;Doações Efetuadas;0235;3;false;
238;0238;Despesas Eventuais;0235;3;false;
239;0239;Outras Despesas Não Operacionais;0235;3;false;
240;0240;Lucro Antes dos Impostos;0242;2;false;
241;0241;Imposto de Renda e Contribuição Social;0242;3;false;
242;0242;Superavit/Déficit do Exercício;;1;false;
